 Bus V "Angle (deg)" "Pinj (pu)" "Qinj (pu)" "Ireal (pu)" "I_imag (pu)"
0 1 1.06 0.0 2.3238590388749514 -0.16888896586990787 2.192319869995117 0.1593303680419922
1 2 1.045 -4.980948568637535 0.18300000007597036 0.29696043549396284 0.14978504180908203 -0.29830169677734375
2 3 1.01 -12.71796431760906 -0.9419999999288987 0.043932152110485234 -0.9193665981292725 0.1629009246826172
3 4 1.0186238692728602 -10.32422704308029 -0.47800000002936516 0.03900410519854083 -0.46852540969848633 0.046428680419921875
4 5 1.0202640715349751 -8.782577919664979 -0.07599999989783171 -0.015999433762450204 -0.07122230529785156 0.0268707275390625
5 6 1.07 -14.222641695166194 -0.1119999998713205 0.04739585834777904 -0.11234760284423828 -0.01721954345703125
6 7 1.0619514904773097 -13.368253615305791 -1.3692646042041518e-11 2.678694806373336e-13 2.384185791015625e-07 -1.9073486328125e-06
7 8 1.09 -13.368253615305791 0.0 0.1735616026423698 -0.036815643310546875 -0.15491580963134766
8 9 1.0563471913382592 -14.946605809483023 -0.2949999999489204 -0.1659943322710603 -0.22928690910339355 0.22385072708129883
9 10 1.051328994262145 -15.104328333878785 -0.09000000001991602 -0.05799842770363695 -0.06827318668365479 0.07556724548339844
10 11 1.0570824483448955 -14.795261291994507 -0.0349999999226308 -0.017999705897138073 -0.027663707733154297 0.024918556213378906
11 12 1.055220285979099 -15.07741576687209 -0.06099999999318499 -0.015999845473741323 -0.05187380313873291 0.029677867889404297
12 13 1.0504428437019044 -15.15893495504323 -0.13499999992704304 -0.05799946090750168 -0.10960698127746582 0.0868997573852539
13 14 1.0357959634134202 -16.038943600232695 -0.14900000000488445 -0.04999767438433178 -0.12491446733474731 0.0861351490020752
	Bus	V	Angle (deg)	Pinj (pu)	Qinj (pu)	Ireal (pu)	I_imag (pu)
0	1	1.06	0.0	2.3238590388749514	-0.16888896586990787	2.192319869995117	0.1593303680419922
1	2	1.045	-4.980948568637535	0.18300000007597036	0.29696043549396284	0.14978504180908203	-0.29830169677734375
2	3	1.01	-12.71796431760906	-0.9419999999288987	0.043932152110485234	-0.9193665981292725	0.1629009246826172
3	4	1.0186238692728602	-10.32422704308029	-0.47800000002936516	0.03900410519854083	-0.46852540969848633	0.046428680419921875
4	5	1.0202640715349751	-8.782577919664979	-0.07599999989783171	-0.015999433762450204	-0.07122230529785156	0.0268707275390625
5	6	1.07	-14.222641695166194	-0.1119999998713205	0.04739585834777904	-0.11234760284423828	-0.01721954345703125
6	7	1.0619514904773097	-13.368253615305791	-1.3692646042041518e-11	2.678694806373336e-13	2.384185791015625e-07	-1.9073486328125e-06
7	8	1.09	-13.368253615305791	0.0	0.1735616026423698	-0.036815643310546875	-0.15491580963134766
8	9	1.0563471913382592	-14.946605809483023	-0.2949999999489204	-0.1659943322710603	-0.22928690910339355	0.22385072708129883
9	10	1.051328994262145	-15.104328333878785	-0.09000000001991602	-0.05799842770363695	-0.06827318668365479	0.07556724548339844
10	11	1.0570824483448955	-14.795261291994507	-0.0349999999226308	-0.017999705897138073	-0.027663707733154297	0.024918556213378906
11	12	1.055220285979099	-15.07741576687209	-0.06099999999318499	-0.015999845473741323	-0.05187380313873291	0.029677867889404297
12	13	1.0504428437019044	-15.15893495504323	-0.13499999992704304	-0.05799946090750168	-0.10960698127746582	0.0868997573852539
13	14	1.0357959634134202	-16.038943600232695	-0.14900000000488445	-0.04999767438433178	-0.12491446733474731	0.0861351490020752
