======================Processo Iterativo================
Numero de Iteracoes = 4 
Erro Maximo = 4.056E-08 
Tolerancia = 0.00010 

 
========================Dados Barra=====================
Bus V Angle(deg) Pinj(pu) Qinj(pu) Ireal(pu) Iimag(pu)
1   1.06000  0.00000  2.32393 -0.16549  2.19239  0.15613 
2   1.04500 -4.98259  0.18300  0.30857  0.14881 -0.30938 
3   1.01000 -12.72510 -0.94200  0.06075 -0.92301  0.14677 
4   1.01767 -10.31291 -0.47800  0.03900 -0.46897  0.04638 
5   1.01951 -8.77386 -0.07600 -0.01600 -0.07128  0.02688 
6   1.07000 -14.22093 -0.11200  0.05230 -0.11347 -0.02167 
7   1.06152 -13.35963 -0.00000  0.00000  0.00000  0.00000 
8   1.09000 -13.35963  0.00000  0.17623 -0.03736 -0.15730 
9   1.05593 -14.93853 -0.29500 -0.16599 -0.22941  0.22390 
10  1.05099 -15.09729 -0.09000 -0.05800 -0.06830  0.07559 
11  1.05691 -14.79062 -0.03500 -0.01800 -0.02767  0.02492 
12  1.05519 -15.07558 -0.06100 -0.01600 -0.05188  0.02968 
13  1.05038 -15.15627 -0.13500 -0.05800 -0.10962  0.08690 
14  1.03553 -16.03365 -0.14900 -0.05000 -0.12495  0.08615 

 
=======================================Dados Linha=========================================
Branch From To Pij Qij Pji Qji Ire_ij Iim_ij Ire_ji Iim_ji
1  1  2   1.56883 -0.20404 -1.52585  0.27676  1.48003  0.19249 -1.47763 -0.13703  
2  1  5   0.75510  0.03855 -0.72748  0.02229  0.71236 -0.03637 -0.70854  0.08723  
3  2  3   0.73238  0.03560 -0.70914  0.01602  0.69523 -0.09481 -0.68837  0.13918  
4  2  4   0.56131 -0.01551 -0.54455  0.03021  0.53640 -0.03187 -0.53176  0.06659  
5  2  5   0.41516  0.01171 -0.40612 -0.02099  0.39481 -0.04567 -0.39055  0.08111  
6  3  4  -0.23286  0.04473  0.23659 -0.04835 -0.23464  0.00759  0.23723  0.00513  
7  4  5  -0.61158  0.15824  0.61673 -0.14201 -0.61909 -0.04539  0.61909  0.04539  
8  4  7   0.27457 -0.20609 -0.27457  0.22988  0.30169  0.15094 -0.30169 -0.15094  
9  4  9   0.15581 -0.06372 -0.15581  0.07893  0.16184  0.03419 -0.16184 -0.03419  
10 5  6   0.41089 -0.18469 -0.41089  0.23389  0.42594  0.11756 -0.42594 -0.11756  
11 6  11  0.07353  0.03560 -0.07298 -0.03444  0.05844 -0.04914 -0.05844  0.04914  
12 6  12  0.07786  0.02503 -0.07714 -0.02354  0.06479 -0.04056 -0.06479  0.04056  
13 6  13  0.17748  0.07216 -0.17536 -0.06799  0.14422 -0.10612 -0.14422  0.10612  
14 7  8   0.00000 -0.17163  0.00000  0.17623  0.03736  0.15730 -0.03736 -0.15730  
15 7  9   0.28074  0.05778 -0.28074 -0.04976  0.24474 -0.11407 -0.24474  0.11407  
16 9  10  0.05228  0.04219 -0.05215 -0.04185  0.03753 -0.05137 -0.03753  0.05137  
17 9  14  0.09426  0.03610 -0.09310 -0.03363  0.07744 -0.05604 -0.07744  0.05604  
18 10 11 -0.03785 -0.01615  0.03798  0.01644 -0.03077  0.02422  0.03077 -0.02422  
19 12 13  0.01614  0.00754 -0.01608 -0.00748  0.01291 -0.01088 -0.01291  0.01088  
20 13 14  0.05644  0.01747 -0.05590 -0.01637  0.04751 -0.03010 -0.04751  0.03010  
